1,Pale American Beer
1A
1B
1C
1D
18A
2,Pale European Beer
2A
4A
4B
5A
5B
5C
3,Pilsner
3A
3B
5D
27-pre18-lager
4,Amber European Beer
2B
3C
6A
7A
7B
7C
5,Dark European Lager
2C
3D
8A
8B
6,Strong European Lager
4C
6C
9A
9B
9C
7,German Wheat Beer
10A
10B
10C
27-roggenbier
27-sahti
8,Pale British Ale
11A
11B
11C
12A
12B
12C
9,Scottish & Irish Ale
14A
14B
14C
15A
10,American Pale Ale
18B
11,Amber & Brown American Ale
19A
19B
19C
27-ky
12,Brown British Beer
13A
13B
13C
27-london-brown
13,British & Irish Stout
15B
15C
16A
16B
16C
16D
14,American Porter & Stout
20A
20B
27-pre18-porter
15,Imperial Stout
20C
16,American IPA
21A
17,Specialty IPA
21B
21B-belgian
21B-black
21B-brown
21B-red
21B-rye
21B-white
18,Strong American Ale
22A
22B
22C
22D
19,Strong UK Ale
17A
17B
17C
17D
20,Saison
25B
21,Belgian Ale
24A
24B
24C
25A
26A
22,Strong Belgian Ale
25C
26B
26C
26D
23,European Sour Ale
23A
23B
23C
23D
23E
23F
27-gose
24,Fruit Beer
29A
29B
29C
25,Spiced Beer
30A
30B
30C
26,Smoke-Flavored & Wood-Aged Beer
6B
27-Lichtenhainer
27-piwo
32A
32B
33A
33B
27,American Wild Ale
28A
28B
28C
28,Specialty Beer
31A
31B
34A
34B
34C
29,Traditional Mead
M1A
M1B
M1C
30,Fruit Mead
M2A
M2B
M2C
M2D
M2E
31,Spice & Specialty Mead
M3A
M3B
M4A
M4B
M4C
32,Standard Cider & Perry
C1A
C1B
C1C
C1D
C1E
33,Specialty Cider & Perry
C2A
C2B
C2C
C2D
C2E
C2F
